2023-10-23 10:27:25,903 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,904 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217680 SVID 31 ---
2023-10-23 10:27:25,905 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,923 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217710 SVID 24 ---
2023-10-23 10:27:25,924 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,925 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217710 SVID 31 ---
2023-10-23 10:27:25,926 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,942 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217740 SVID 24 ---
2023-10-23 10:27:25,944 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,946 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217740 SVID 31 ---
2023-10-23 10:27:25,949 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,952 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217770 SVID 24 ---
2023-10-23 10:27:25,952 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,962 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217770 SVID 31 ---
2023-10-23 10:27:25,964 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,975 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217800 SVID 24 ---
2023-10-23 10:27:25,975 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,978 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217800 SVID 31 ---
2023-10-23 10:27:25,979 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,981 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217800 SVID 25 ---
2023-10-23 10:27:25,982 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,999 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217830 SVID 24 ---
2023-10-23 10:27:26,000 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:26,002 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217830 SVID 31 ---
2023-10-23 10:27:26,003 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:26,015 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217860 SVID 24 ---
2023-10-23 10:27:26,016 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:26,018 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217860 SVID 31 ---
2023-10-23 10:27:26,018 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:26,024 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217890 SVID 24 ---
2023-10-23 10:27:26,031 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:26,033 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217890 SVID 31 ---
2023-10-23 10:27:26,033 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:26,040 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217920 SVID 24 ---
2023-10-23 10:27:26,040 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:26,046 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217920 SVID 31 ---
2023-10-23 10:27:26,047 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:26,052 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217950 SVID 24 ---
2023-10-23 10:27:26,052 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:26,058 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217950 SVID 31 ---
2023-10-23 10:27:26,059 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:26,060 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217950 SVID 12 ---
2023-10-23 10:27:26,060 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:26,073 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217980 SVID 31 ---
2023-10-23 10:27:26,074 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:26,075 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217980 SVID 24 ---
2023-10-23 10:27:26,075 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:26,090 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 218010 SVID 31 ---
2023-10-23 10:27:26,091 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:26,093 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 218010 SVID 24 ---
2023-10-23 10:27:26,094 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:26,117 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 218040 SVID 31 ---
2023-10-23 10:27:26,118 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:26,120 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 218040 SVID 24 ---
2023-10-23 10:27:26,121 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:26,141 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 218070 SVID 31 ---
2023-10-23 10:27:26,142 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:26,143 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 218070 SVID 24 ---
2023-10-23 10:27:26,145 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
